,epoch,precision,recall,matthews_corrcoef,f1
final_uius_united80_10__,10.0,0.8045174537987679,0.7940818808269153,0.5793037136477978,0.799265605875153
final_uius_united85_10__,10.0,0.8028764805414551,0.7693554925010134,0.5586895780079237,0.7857586421030843
final_uius_united85_15__,10.0,0.7824267782426778,0.8338062423996757,0.579665673409448,0.8072998430141287
final_uius_united85_3__,10.0,0.7947284345047924,0.8066477503040129,0.575668740113829,0.8006437336552003
final_uius_united88_4__,10.0,0.8173118747281427,0.7616538305634374,0.5717722614547065,0.7885018883759967
